"test_statistic","label","A"
0.0595527156554964,"H0",0.5
0.408025471835663,"H0",0.5
-0.124327549003274,"H0",0.5
-0.779981047406104,"H0",0.5
-0.187303036769186,"H0",0.5
-0.25116755575127,"H0",0.5
0.708916638976887,"H0",0.5
0.461551515258198,"H0",0.5
-0.475557761331935,"H0",0.5
-0.0598841272831985,"H0",0.5
0.272569234838853,"H0",0.5
0.0543736652184016,"H0",0.5
0.135002662203851,"H0",0.5
-0.190719191248592,"H0",0.5
0.03879892821622,"H0",0.5
0.0168413464245844,"H0",0.5
-0.0762106847467061,"H0",0.5
0.26058520279584,"H0",0.5
-0.173719704358936,"H0",0.5
0.173878051151205,"H0",0.5
0.299341332047526,"H0",0.5
-0.220123671099707,"H0",0.5
0.549378377405623,"H0",0.5
0.0511104722213004,"H0",0.5
-0.164367778520448,"H0",0.5
0.313157954944444,"H0",0.5
-0.377392889145522,"H0",0.5
-0.0863808382637826,"H0",0.5
0.379466692462436,"H0",0.5
0.149943068057089,"H0",0.5
0.328496614086369,"H0",0.5
0.188311286023218,"H0",0.5
0.0250770253790134,"H0",0.5
0.28314656954498,"H0",0.5
-0.0559788399648843,"H0",0.5
-0.362665135778223,"H0",0.5
0.512508122256359,"H0",0.5
0.430086535022975,"H0",0.5
0.161550931137414,"H0",0.5
0.118854042735684,"H0",0.5
0.125457658764951,"H0",0.5
0.768945178964552,"H0",0.5
0.000139171224560411,"H0",0.5
-0.140629315502735,"H0",0.5
0.332241172953319,"H0",0.5
-0.379694978833471,"H0",0.5
0.089745475576479,"H0",0.5
-0.131039837275182,"H0",0.5
0.19957658384028,"H0",0.5
-0.119363629348691,"H0",0.5
-0.264535065027149,"H0",0.5
-0.125811998416364,"H0",0.5
-0.114208117503918,"H0",0.5
-0.00715775755017547,"H0",0.5
-0.00523211102673591,"H0",0.5
-0.115986731040256,"H0",0.5
-0.694941425006877,"H0",0.5
-0.238316690447682,"H0",0.5
0.169808931062019,"H0",0.5
0.60573608432053,"H0",0.5
-0.143028398956623,"H0",0.5
-0.596735885262083,"H0",0.5
0.0601435874329378,"H0",0.5
0.184800450204003,"H0",0.5
-0.399416578779968,"H0",0.5
0.104134318954133,"H0",0.5
-0.379111093228503,"H0",0.5
0.328531277451954,"H0",0.5
-0.1012353839454,"H0",0.5
0.0935477611952927,"H0",0.5
0.0572630272444769,"H0",0.5
-0.1455088574957,"H0",0.5
0.108079293243261,"H0",0.5
-0.281818363296077,"H0",0.5
-0.356955922459115,"H0",0.5
0.646573501277731,"H0",0.5
-0.148567746491767,"H0",0.5
-0.215296241934062,"H0",0.5
0.0394799519970651,"H0",0.5
-0.088877410889086,"H0",0.5
-0.253023262104936,"H0",0.5
-0.0856439936532835,"H0",0.5
-0.292359240288335,"H0",0.5
-0.165043213035981,"H0",0.5
0.117852537409612,"H0",0.5
-0.36989248424732,"H0",0.5
0.214952835547718,"H0",0.5
0.197282194439194,"H0",0.5
0.303396483675882,"H0",0.5
0.180700170834106,"H0",0.5
-0.189489891880434,"H0",0.5
0.472047538050346,"H0",0.5
-0.1882769018964,"H0",0.5
