"test_statistic","label","A"
-0.424558873044617,"H0",0.5
0.322044550100875,"H0",0.5
-0.00871553651260284,"H0",0.5
0.22168599621339,"H0",0.5
0.123083683666956,"H0",0.5
-0.362917812858358,"H0",0.5
0.31309530427526,"H0",0.5
0.437094169571965,"H0",0.5
-0.395847994174902,"H0",0.5
-0.322912969888181,"H0",0.5
-0.1104382847852,"H0",0.5
0.0337398841227735,"H0",0.5
-0.474042801022947,"H0",0.5
0.127370242338355,"H0",0.5
0.290440477250164,"H0",0.5
0.043339210262714,"H0",0.5
6.59678144819376e-05,"H0",0.5
-0.267181711952347,"H0",0.5
0.311234472226002,"H0",0.5
-0.192268353246786,"H0",0.5
0.000478476604249201,"H0",0.5
-0.0771594454993891,"H0",0.5
-0.0848878458236914,"H0",0.5
0.0384055550203493,"H0",0.5
0.198777437166719,"H0",0.5
0.220185750650647,"H0",0.5
0.125245960616405,"H0",0.5
0.664639092298943,"H0",0.5
-0.209294449849901,"H0",0.5
0.131269813287585,"H0",0.5
0.285336450265662,"H0",0.5
-0.184901929370575,"H0",0.5
-0.0121393131036157,"H0",0.5
-0.136379823367703,"H0",0.5
0.218084363821953,"H0",0.5
-0.160912510167089,"H0",0.5
0.0430300235134509,"H0",0.5
-0.336321709100247,"H0",0.5
-0.279051287505967,"H0",0.5
-0.144874869429557,"H0",0.5
0.489934856585184,"H0",0.5
-0.0767667810280061,"H0",0.5
-0.317265008470024,"H0",0.5
0.244449919331791,"H0",0.5
0.442385352254936,"H0",0.5
0.160075519933404,"H0",0.5
0.486204698894562,"H0",0.5
0.0534168536122603,"H0",0.5
-0.43178495379494,"H0",0.5
-0.119016417963334,"H0",0.5
0.277690568087528,"H0",0.5
0.226654122464688,"H0",0.5
0.180925532254364,"H0",0.5
0.0211116522991018,"H0",0.5
-0.00463184649765392,"H0",0.5
-0.0767553623289058,"H0",0.5
-0.350245094222612,"H0",0.5
-0.146947778518173,"H0",0.5
-0.314067385804468,"H0",0.5
-0.22747952920677,"H0",0.5
-0.0200596293785218,"H0",0.5
-0.382109554425549,"H0",0.5
0.129692962688606,"H0",0.5
-0.0572401598165094,"H0",0.5
0.359367328403736,"H0",0.5
-0.682948292706945,"H0",0.5
-0.397130759709242,"H0",0.5
0.0955336073222208,"H0",0.5
-0.325809836803533,"H0",0.5
0.455802222735873,"H0",0.5
-0.23987211218873,"H0",0.5
0.401383722739021,"H0",0.5
0.770437023881477,"H0",0.5
0.042543853366708,"H0",0.5
0.36348765425731,"H0",0.5
-0.119425296038544,"H0",0.5
-0.506831240870499,"H0",0.5
0.217019475336297,"H0",0.5
0.43306030554997,"H0",0.5
-0.395572186183556,"H0",0.5
-0.547200900379672,"H0",0.5
0.0640611188140205,"H0",0.5
0.414267716093865,"H0",0.5
0.200303409674295,"H0",0.5
0.159747174176924,"H0",0.5
0.599830448349247,"H0",0.5
-0.0472508372897117,"H0",0.5
0.0546508954852374,"H0",0.5
0.193229676840918,"H0",0.5
0.292420435670329,"H0",0.5
0.470518315392542,"H0",0.5
-0.221238474421278,"H0",0.5
-0.233764949299741,"H0",0.5
-0.195770210126834,"H0",0.5
-0.0724627361212364,"H0",0.5
-0.56650546457581,"H0",0.5
0.240277171541669,"H0",0.5
-0.0986311677129073,"H0",0.5
-0.0790506422859356,"H0",0.5
0.585622074754483,"H0",0.5
0.476000968259206,"H0",0.5
0.00617910055160293,"H0",0.5
-0.132269910288965,"H0",0.5
0.192517970097103,"H0",0.5
0.295983876187991,"H0",0.5
-0.220897460547037,"H0",0.5
-0.176164847717996,"H0",0.5
0.251484629835511,"H0",0.5
-0.279480549667152,"H0",0.5
0.276956897307542,"H0",0.5
0.00215990952734626,"H0",0.5
0.0117209425120095,"H0",0.5
-0.087387962368507,"H0",0.5
-0.0808146749534468,"H0",0.5
-0.136907062278394,"H0",0.5
-0.153733842274356,"H0",0.5
-0.120606459076498,"H0",0.5
0.376337217954398,"H0",0.5
0.16172087230412,"H0",0.5
-0.691111109832525,"H0",0.5
-0.209105894556175,"H0",0.5
-0.206773799165189,"H0",0.5
0.324214734946651,"H0",0.5
0.222445381304482,"H0",0.5
0.503303318326719,"H0",0.5
0.256268138238375,"H0",0.5
-0.825453593850691,"H0",0.5
0.439099426042094,"H0",0.5
-0.284862061426495,"H0",0.5
0.000975547755311873,"H0",0.5
0.221658803198062,"H0",0.5
-0.384831908598606,"H0",0.5
-0.376633818440196,"H0",0.5
-0.0436171282725481,"H0",0.5
0.570167734666126,"H0",0.5
-0.462171615329114,"H0",0.5
0.0039440741567162,"H0",0.5
0.153257590909224,"H0",0.5
0.00150785945750931,"H0",0.5
0.281773385874473,"H0",0.5
0.330183931659055,"H0",0.5
-0.491266184818395,"H0",0.5
-0.276645044081399,"H0",0.5
0.803964839616563,"H0",0.5
0.116968058811897,"H0",0.5
-0.764621154150893,"H0",0.5
0.616421871067382,"H0",0.5
